entity_class,match,action,namespace,doc_ids
gene,Cox,drop,ExplosionNERStep,176
gene,PAP I,keep,ExplosionNERStep,176
gene,Fat,drop,ExplosionNERStep,175
gene,LPS,keep,ExplosionNERStep,175
gene,NS1,keep,ExplosionNERStep,173
gene,ROS,keep,ExplosionNERStep,172
gene,Src,drop,ExplosionNERStep,171
gene,IGF,keep,ExplosionNERStep,170
gene,DBP,keep,ExplosionNERStep,162
gene,AIM,keep,ExplosionNERStep,162
gene,VIII,drop,ExplosionNERStep,161
gene,B7-H1,keep,ExplosionNERStep,161
gene,HDAC,keep,ExplosionNERStep,156
gene,GAL4,keep,ExplosionNERStep,154
gene,San,drop,ExplosionNERStep,153
gene,protein A,keep,ExplosionNERStep,153
gene,Apolipoprotein,keep,ExplosionNERStep,152
gene,Delta,drop,ExplosionNERStep,151
gene,oncostatin M,keep,ExplosionNERStep,151
gene,EGF,keep,ExplosionNERStep,151
gene,Rett syndrome,drop,ExplosionNERStep,150
gene,TSC2,keep,ExplosionNERStep,150
gene,GST,keep,ExplosionNERStep,150
gene,Fish,drop,ExplosionNERStep,148
gene,Slug,drop,ExplosionNERStep,147
gene,Tat,drop,ExplosionNERStep,147
gene,TCR,keep,ExplosionNERStep,146
gene,L22,keep,ExplosionNERStep,146
gene,miR-146a,keep,ExplosionNERStep,146
gene,Sex,drop,ExplosionNERStep,145
gene,IL-1,keep,ExplosionNERStep,145
gene,PC3,keep,ExplosionNERStep,144
gene,LC3,keep,ExplosionNERStep,143
gene,YAP,keep,ExplosionNERStep,142
gene,CRP,keep,ExplosionNERStep,141
gene,Parkin,drop,ExplosionNERStep,140
gene,End,drop,ExplosionNERStep,139
gene,FLT,keep,ExplosionNERStep,139
gene,NMI,keep,ExplosionNERStep,139
gene,MSC,keep,ExplosionNERStep,138
gene,Hip,drop,ExplosionNERStep,137
gene,PLA2,keep,ExplosionNERStep,137
gene,NHS,drop,ExplosionNERStep,136
gene,GLUT4,keep,ExplosionNERStep,136
gene,proBNP,keep,ExplosionNERStep,136
gene,MEK,keep,ExplosionNERStep,134
gene,PC1,keep,ExplosionNERStep,133
gene,Set,drop,ExplosionNERStep,131
gene,Air,keep,ExplosionNERStep,130
gene,Bid,keep,ExplosionNERStep,130
gene,PKC,keep,ExplosionNERStep,130
gene,ABO,keep,ExplosionNERStep,129
gene,phospholipase A2,keep,ExplosionNERStep,129
gene,CEA,keep,ExplosionNERStep,129
gene,Spring,drop,ExplosionNERStep,128
gene,miR-21,keep,ExplosionNERStep,127
gene,Nrf2,keep,ExplosionNERStep,127
gene,RGR,keep,ExplosionNERStep,127
gene,SP-A,keep,ExplosionNERStep,126
gene,X receptor,drop,ExplosionNERStep,125
gene,MAP,keep,ExplosionNERStep,125
gene,apolipoprotein E,keep,ExplosionNERStep,124
gene,Met,keep,ExplosionNERStep,124
gene,PC-3,keep,ExplosionNERStep,124
gene,Can,drop,ExplosionNERStep,123
gene,Spatial,drop,ExplosionNERStep,123
gene,Snail,drop,ExplosionNERStep,121
gene,SBP,keep,ExplosionNERStep,121
gene,Mg2,keep,ExplosionNERStep,121
gene,NT-proBNP,keep,ExplosionNERStep,121
gene,Pilot,drop,ExplosionNERStep,119
gene,NOS,keep,ExplosionNERStep,119
gene,She,drop,ExplosionNERStep,118
gene,CELL,drop,ExplosionNERStep,117
gene,BCR,keep,ExplosionNERStep,117
gene,LPA,keep,ExplosionNERStep,116
gene,HSP90,keep,ExplosionNERStep,115
gene,ORF,keep,ExplosionNERStep,115
gene,Nodal,keep,ExplosionNERStep,113
gene,NFκB,keep,ExplosionNERStep,112
gene,CREB,keep,ExplosionNERStep,112
gene,CAT,keep,ExplosionNERStep,111
gene,Trade,drop,ExplosionNERStep,110
gene,MET,keep,ExplosionNERStep,110
gene,BAT,keep,ExplosionNERStep,110
gene,Growth hormone,drop,ExplosionNERStep,109
gene,HSP70,keep,ExplosionNERStep,109
gene,TOF,keep,ExplosionNERStep,109
gene,FMD,keep,ExplosionNERStep,109
gene,ERK5,keep,ExplosionNERStep,109
gene,ADP,keep,ExplosionNERStep,108
gene,CA1,keep,ExplosionNERStep,107
gene,Rad,keep,ExplosionNERStep,107
gene,NGF,keep,ExplosionNERStep,106
gene,CA125,keep,ExplosionNERStep,106
gene,MS2,keep,ExplosionNERStep,104
gene,CRS,keep,ExplosionNERStep,104
gene,NS5,keep,ExplosionNERStep,103
gene,STAR,keep,ExplosionNERStep,103
gene,Age,drop,ExplosionNERStep,102
gene,Minor,drop,ExplosionNERStep,102
gene,Ang II,keep,ExplosionNERStep,102
gene,Angiotensin II,keep,ExplosionNERStep,100
gene,Bank,drop,ExplosionNERStep,99
gene,Med,drop,ExplosionNERStep,99
gene,ATP-binding cassette,keep,ExplosionNERStep,99
gene,HA1,keep,ExplosionNERStep,99
gene,protein C,keep,ExplosionNERStep,99
gene,Prism,keep,ExplosionNERStep,99
gene,CCN3,keep,ExplosionNERStep,98
gene,Pigs,drop,ExplosionNERStep,97
gene,Linc00337,keep,ExplosionNERStep,97
gene,IBD,keep,ExplosionNERStep,97
gene,CAR,keep,ExplosionNERStep,96
gene,NAG,keep,ExplosionNERStep,96
gene,PEG,keep,ExplosionNERStep,96
gene,HSD1,keep,ExplosionNERStep,94
gene,SCC,keep,ExplosionNERStep,94
gene,Akt,keep,ExplosionNERStep,94
gene,Out,drop,ExplosionNERStep,93
gene,Osteosarcoma,drop,ExplosionNERStep,93
gene,PPL,keep,ExplosionNERStep,93
gene,PVS,keep,ExplosionNERStep,93
gene,FAK,keep,ExplosionNERStep,93
gene,P-gp,keep,ExplosionNERStep,92
gene,SNF5,keep,ExplosionNERStep,92
gene,GTP,keep,ExplosionNERStep,91
gene,PRL,keep,ExplosionNERStep,91
gene,Cytochrome P450,keep,ExplosionNERStep,91
gene,AP-1,keep,ExplosionNERStep,91
gene,JAM,keep,ExplosionNERStep,91
gene,Insulin,keep,ExplosionNERStep,90
gene,Suppressor of cytokine signaling,keep,ExplosionNERStep,90
gene,Killer,drop,ExplosionNERStep,89
gene,High Mobility Group Box,keep,ExplosionNERStep,89
gene,MLL,keep,ExplosionNERStep,89
gene,TD-60,keep,ExplosionNERStep,89
gene,Apolipoprotein E,keep,ExplosionNERStep,89
gene,Particle,drop,ExplosionNERStep,88
gene,Full,drop,ExplosionNERStep,88
gene,FIH,keep,ExplosionNERStep,88
gene,PS1,keep,ExplosionNERStep,88
gene,phospholipase C,keep,ExplosionNERStep,88
gene,GC-C,keep,ExplosionNERStep,88
gene,CRT,keep,ExplosionNERStep,87
gene,PC2,keep,ExplosionNERStep,87
gene,A10,keep,ExplosionNERStep,86
gene,Serum response factor,keep,ExplosionNERStep,85
gene,Gal4,keep,ExplosionNERStep,85
gene,PRN,keep,ExplosionNERStep,85
gene,NF-kappaB,keep,ExplosionNERStep,85
gene,AST,keep,ExplosionNERStep,85
gene,Jpx,keep,ExplosionNERStep,85
gene,SEC13,keep,ExplosionNERStep,84
gene,TAZ,keep,ExplosionNERStep,84
gene,FHL2,keep,ExplosionNERStep,84
gene,type IV,drop,ExplosionNERStep,83
gene,Tyr,keep,ExplosionNERStep,83
gene,BNP,keep,ExplosionNERStep,83
gene,SP-D,keep,ExplosionNERStep,82
gene,DDP,keep,ExplosionNERStep,82
gene,GA3,keep,ExplosionNERStep,82
gene,AF4,keep,ExplosionNERStep,82
gene,Base,drop,ExplosionNERStep,81
gene,PTB,keep,ExplosionNERStep,81
gene,EPA,keep,ExplosionNERStep,81
gene,Arc,keep,ExplosionNERStep,81
gene,Step,drop,ExplosionNERStep,80
gene,EMT,keep,ExplosionNERStep,80
gene,XLαs,keep,ExplosionNERStep,80
gene,SMC,keep,ExplosionNERStep,80
gene,Apr,drop,ExplosionNERStep,79
gene,Mucin,keep,ExplosionNERStep,79
gene,Tumor necrosis factor,keep,ExplosionNERStep,79
gene,CA-125,keep,ExplosionNERStep,79
gene,CTRL,keep,ExplosionNERStep,78
gene,ACC,keep,ExplosionNERStep,78
gene,DRB1,keep,ExplosionNERStep,78
gene,miR-31,keep,ExplosionNERStep,78
gene,Van,drop,ExplosionNERStep,77
gene,Vascular Endothelial Growth Factor,keep,ExplosionNERStep,77
gene,Scott,drop,ExplosionNERStep,76
gene,Alzheimer disease,drop,ExplosionNERStep,76
gene,CLIF,keep,ExplosionNERStep,76
gene,CHOP,keep,ExplosionNERStep,76
gene,RAD,keep,ExplosionNERStep,76
gene,MCT,keep,ExplosionNERStep,76
gene,FBS,keep,ExplosionNERStep,76
gene,STAT,keep,ExplosionNERStep,76
gene,ADM,keep,ExplosionNERStep,76
gene,Api,keep,ExplosionNERStep,76
gene,RIG,keep,ExplosionNERStep,75
gene,ESA,keep,ExplosionNERStep,75
gene,Corticotropin,keep,ExplosionNERStep,74
gene,Rac,keep,ExplosionNERStep,74
gene,CAD,keep,ExplosionNERStep,74
gene,PCI,keep,ExplosionNERStep,74
gene,Yes,drop,ExplosionNERStep,73
gene,Marfan syndrome,drop,ExplosionNERStep,73
gene,TTN-AS1,keep,ExplosionNERStep,73
gene,Soft,keep,ExplosionNERStep,73
gene,AGS,keep,ExplosionNERStep,73
gene,CAP,keep,ExplosionNERStep,73
gene,FST,keep,ExplosionNERStep,73
gene,Mast,drop,ExplosionNERStep,72
gene,P21,keep,ExplosionNERStep,72
gene,TNM,keep,ExplosionNERStep,71
gene,Epidermal growth factor,keep,ExplosionNERStep,71
gene,NS3,keep,ExplosionNERStep,71
gene,Asp,keep,ExplosionNERStep,70
gene,Art,keep,ExplosionNERStep,70
gene,Csr,keep,ExplosionNERStep,70
gene,L1CAM,keep,ExplosionNERStep,70
gene,PPAR,keep,ExplosionNERStep,69
gene,miR-122,keep,ExplosionNERStep,69
gene,NMR,keep,ExplosionNERStep,69
gene,Parathyroid hormone,keep,ExplosionNERStep,69
gene,ACT,keep,ExplosionNERStep,69
gene,AIS,keep,ExplosionNERStep,69
gene,AMPK,keep,ExplosionNERStep,68
gene,DSS,keep,ExplosionNERStep,68
gene,DOR,keep,ExplosionNERStep,68
gene,PD-1,keep,ExplosionNERStep,67
gene,LAP,keep,ExplosionNERStep,67
gene,Creutzfeldt-Jakob disease,drop,ExplosionNERStep,66
gene,Aid,drop,ExplosionNERStep,66
gene,IGHV,keep,ExplosionNERStep,66
gene,EPN,keep,ExplosionNERStep,66
gene,FISH,keep,ExplosionNERStep,66
gene,G protein-coupled receptor,keep,ExplosionNERStep,66
gene,SMN,keep,ExplosionNERStep,65
gene,SAR,keep,ExplosionNERStep,65
gene,Phosphatase and tensin homolog,keep,ExplosionNERStep,65
gene,Raf,keep,ExplosionNERStep,65
gene,Q10,keep,ExplosionNERStep,64
gene,CAM,keep,ExplosionNERStep,64
gene,IgG3,keep,ExplosionNERStep,64
gene,PTC,keep,ExplosionNERStep,64
gene,ILA,keep,ExplosionNERStep,63
gene,MLL1,keep,ExplosionNERStep,63
gene,PHA,keep,ExplosionNERStep,63
gene,S100,keep,ExplosionNERStep,63
gene,ALP,keep,ExplosionNERStep,63
gene,RNA-binding protein,keep,ExplosionNERStep,63
gene,MEG3,keep,ExplosionNERStep,63
gene,Trp,keep,ExplosionNERStep,63
gene,ASA,keep,ExplosionNERStep,63
gene,PF4,keep,ExplosionNERStep,63
gene,RIG-I,keep,ExplosionNERStep,62
gene,HCN4,keep,ExplosionNERStep,62
gene,ELF,keep,ExplosionNERStep,61
gene,Ubiquitin,keep,ExplosionNERStep,61
gene,Gli,keep,ExplosionNERStep,61
gene,FAS,keep,ExplosionNERStep,61
gene,RFC,keep,ExplosionNERStep,61
gene,ACS,keep,ExplosionNERStep,61
gene,Lao,keep,ExplosionNERStep,60
gene,T-STAR,keep,ExplosionNERStep,60
gene,S10,keep,ExplosionNERStep,60
gene,Nesfatin-1,keep,ExplosionNERStep,60
gene,Parathyroid Hormone,keep,ExplosionNERStep,60
gene,ASC,keep,ExplosionNERStep,60
gene,ACL,keep,ExplosionNERStep,60
gene,NBCn1,keep,ExplosionNERStep,60
gene,IMPACT,drop,ExplosionNERStep,59
gene,PSP,keep,ExplosionNERStep,59
gene,Carcinoembryonic antigen,keep,ExplosionNERStep,59
gene,CPT,keep,ExplosionNERStep,59
gene,CMS,keep,ExplosionNERStep,59
gene,Twist,drop,ExplosionNERStep,58
gene,PAR,keep,ExplosionNERStep,58
gene,ZIP14,keep,ExplosionNERStep,58
gene,MDS,keep,ExplosionNERStep,58
gene,FAD,keep,ExplosionNERStep,58
gene,Task,keep,ExplosionNERStep,58
gene,MAM,keep,ExplosionNERStep,58
gene,Best,drop,ExplosionNERStep,57
gene,EBP,keep,ExplosionNERStep,57
gene,PRISM,keep,ExplosionNERStep,57
gene,TUBB4,keep,ExplosionNERStep,57
gene,GLA,keep,ExplosionNERStep,57
gene,TAP,keep,ExplosionNERStep,57
gene,Apple,drop,ExplosionNERStep,56
gene,FDP,keep,ExplosionNERStep,56
gene,Albumin,keep,ExplosionNERStep,56
gene,COX,keep,ExplosionNERStep,56
gene,HNM,keep,ExplosionNERStep,56
gene,PEP,keep,ExplosionNERStep,56
gene,CpG binding protein,keep,ExplosionNERStep,56
gene,Atf1,keep,ExplosionNERStep,56
gene,NF-E2,keep,ExplosionNERStep,56
gene,Prx1,keep,ExplosionNERStep,56
gene,CBF,keep,ExplosionNERStep,56
gene,Ankylosing Spondylitis,drop,ExplosionNERStep,55
gene,CCK,keep,ExplosionNERStep,55
gene,C5a,keep,ExplosionNERStep,55
gene,NAT,keep,ExplosionNERStep,55
gene,Sav,keep,ExplosionNERStep,55
gene,OPA1,keep,ExplosionNERStep,55
gene,STZ,keep,ExplosionNERStep,55
gene,GATA,keep,ExplosionNERStep,55
gene,Net,keep,ExplosionNERStep,55
gene,DQ2,keep,ExplosionNERStep,54
gene,Fast,drop,ExplosionNERStep,53
gene,IGF-II,keep,ExplosionNERStep,53
gene,ESR,keep,ExplosionNERStep,53
gene,GGT,keep,ExplosionNERStep,53
gene,DNA-binding protein,keep,ExplosionNERStep,53
gene,DR4,keep,ExplosionNERStep,53
gene,GCS,keep,ExplosionNERStep,53
gene,ETT,keep,ExplosionNERStep,52
gene,Growth Hormone,keep,ExplosionNERStep,52
gene,TAM,keep,ExplosionNERStep,52
gene,Pap,keep,ExplosionNERStep,52
gene,Rir,keep,ExplosionNERStep,52
gene,SET8,keep,ExplosionNERStep,52
gene,Tk2,keep,ExplosionNERStep,52
gene,TYPE,drop,ExplosionNERStep,51
gene,Exp,drop,ExplosionNERStep,51
gene,Cg1,keep,ExplosionNERStep,51
gene,FUS,keep,ExplosionNERStep,51
gene,NR1,keep,ExplosionNERStep,51
gene,SET,keep,ExplosionNERStep,51
gene,Glucagon,keep,ExplosionNERStep,51
gene,VLP,keep,ExplosionNERStep,51
gene,miR-145,keep,ExplosionNERStep,50
gene,Arch,keep,ExplosionNERStep,50
gene,MBL,keep,ExplosionNERStep,50
gene,EXT,keep,ExplosionNERStep,50
gene,Cg2,keep,ExplosionNERStep,50
gene,DES,keep,ExplosionNERStep,50
gene,DRP1,keep,ExplosionNERStep,50
gene,IP-10,keep,ExplosionNERStep,50
gene,CA3,keep,ExplosionNERStep,50
gene,Ran,keep,ExplosionNERStep,50
gene,UTR,keep,ExplosionNERStep,50
gene,SEPW1P,keep,ExplosionNERStep,50
gene,PP2A,keep,ExplosionNERStep,50
gene,Gal,keep,ExplosionNERStep,49
gene,PPD,keep,ExplosionNERStep,49
gene,HA2,keep,ExplosionNERStep,49
gene,KMT2A,keep,ExplosionNERStep,49
gene,NPC,keep,ExplosionNERStep,49
gene,Bar,drop,ExplosionNERStep,48
gene,APP,keep,ExplosionNERStep,48
gene,PIWI,keep,ExplosionNERStep,48
gene,Fibronectin,keep,ExplosionNERStep,48
gene,TRH,keep,ExplosionNERStep,48
gene,ATR,keep,ExplosionNERStep,48
gene,NAC,keep,ExplosionNERStep,48
gene,AKT,keep,ExplosionNERStep,48
gene,PAF,keep,ExplosionNERStep,48
gene,SMA,keep,ExplosionNERStep,48
gene,Cape,keep,ExplosionNERStep,48
gene,C-type lectin,keep,ExplosionNERStep,48
gene,Myosin,keep,ExplosionNERStep,48
gene,PGD2,keep,ExplosionNERStep,48
gene,POST,keep,ExplosionNERStep,48
gene,GARS,keep,ExplosionNERStep,47
gene,GIT,keep,ExplosionNERStep,47
gene,S16,keep,ExplosionNERStep,47
gene,DAG,keep,ExplosionNERStep,47
gene,OCT,keep,ExplosionNERStep,47
gene,Metallothionein-3,keep,ExplosionNERStep,47
gene,GMP,keep,ExplosionNERStep,47
gene,C3a,keep,ExplosionNERStep,47
gene,Ray,drop,ExplosionNERStep,46
gene,Lab,keep,ExplosionNERStep,46
gene,Alb,keep,ExplosionNERStep,46
gene,BAD,keep,ExplosionNERStep,46
gene,Glucagon-like peptide-1,keep,ExplosionNERStep,46
gene,SMR,keep,ExplosionNERStep,46
gene,S3A,keep,ExplosionNERStep,46
gene,AT1,keep,ExplosionNERStep,46
gene,Rst,keep,ExplosionNERStep,46
gene,ADC,keep,ExplosionNERStep,46
gene,Mannose-binding lectin,keep,ExplosionNERStep,46
gene,CPR,keep,ExplosionNERStep,45
gene,FPR,keep,ExplosionNERStep,45
gene,CBP,keep,ExplosionNERStep,45
gene,E3 ubiquitin ligase,keep,ExplosionNERStep,45
gene,FFR,keep,ExplosionNERStep,45
gene,PCB,keep,ExplosionNERStep,45
gene,CPA,keep,ExplosionNERStep,45
gene,HER-2,keep,ExplosionNERStep,45
gene,Msra,drop,ExplosionNERStep,44
gene,Wave,drop,ExplosionNERStep,44
gene,NET,keep,ExplosionNERStep,44
gene,TRAIL,keep,ExplosionNERStep,44
gene,miR-191,keep,ExplosionNERStep,44
gene,IDH,keep,ExplosionNERStep,44
gene,CL-11,keep,ExplosionNERStep,44
gene,MT1,keep,ExplosionNERStep,44
gene,B27,keep,ExplosionNERStep,44
gene,Face,drop,ExplosionNERStep,43
gene,FcRn,keep,ExplosionNERStep,43
gene,PLAT,keep,ExplosionNERStep,43
gene,CSA,keep,ExplosionNERStep,43
gene,HCG,keep,ExplosionNERStep,43
gene,HMGA1P7,keep,ExplosionNERStep,43
gene,Ara,keep,ExplosionNERStep,43
gene,ATM,keep,ExplosionNERStep,43
gene,NAP1,keep,ExplosionNERStep,43
gene,ZIP,keep,ExplosionNERStep,43
gene,Env,keep,ExplosionNERStep,43
gene,AP2,keep,ExplosionNERStep,43
gene,snoRNA,keep,ExplosionNERStep,43
gene,MBP,keep,ExplosionNERStep,42
gene,Tube,keep,ExplosionNERStep,42
gene,SWI,keep,ExplosionNERStep,42
gene,Yap,keep,ExplosionNERStep,42
gene,C9orf72,keep,ExplosionNERStep,42
gene,P-450,keep,ExplosionNERStep,42
gene,NPM,keep,ExplosionNERStep,42
gene,Helix,drop,ExplosionNERStep,41
gene,Top,drop,ExplosionNERStep,41
gene,Mat,keep,ExplosionNERStep,41
gene,PCN,keep,ExplosionNERStep,41
gene,RANK,keep,ExplosionNERStep,41
gene,Calcitonin,keep,ExplosionNERStep,41
gene,DR3,keep,ExplosionNERStep,41
gene,miR-17,keep,ExplosionNERStep,41
gene,AF9,keep,ExplosionNERStep,41
gene,RER,keep,ExplosionNERStep,41
gene,RAR,keep,ExplosionNERStep,41
gene,LSC,keep,ExplosionNERStep,41
gene,ADR,keep,ExplosionNERStep,41
gene,CK19,keep,ExplosionNERStep,41
gene,FCGR3B,keep,ExplosionNERStep,41
gene,RFP,keep,ExplosionNERStep,41
gene,MSH,keep,ExplosionNERStep,41
gene,Flap,drop,ExplosionNERStep,40
gene,H2B,keep,ExplosionNERStep,40
gene,Tau,keep,ExplosionNERStep,40
gene,C3b,keep,ExplosionNERStep,40
gene,HGF,keep,ExplosionNERStep,40
gene,TMS,keep,ExplosionNERStep,40
gene,CRAM,keep,ExplosionNERStep,40
gene,TAT,keep,ExplosionNERStep,40
gene,HSC,keep,ExplosionNERStep,40
gene,HT2A,keep,ExplosionNERStep,40
gene,CT26,keep,ExplosionNERStep,40
gene,DP2,keep,ExplosionNERStep,40
gene,PCP,keep,ExplosionNERStep,40
gene,REC,keep,ExplosionNERStep,40
gene,CCD,keep,ExplosionNERStep,40
gene,C18,keep,ExplosionNERStep,40
gene,Cat,drop,ExplosionNERStep,39
gene,THC,keep,ExplosionNERStep,39
gene,HCC,keep,ExplosionNERStep,39
gene,BAP,keep,ExplosionNERStep,39
gene,DNA binding protein,keep,ExplosionNERStep,39
gene,FEV,keep,ExplosionNERStep,39
gene,FACT,keep,ExplosionNERStep,39
gene,Sp1,keep,ExplosionNERStep,39
gene,DR5,keep,ExplosionNERStep,39
gene,LRP,keep,ExplosionNERStep,39
gene,Mix,drop,ExplosionNERStep,38
gene,Pick,drop,ExplosionNERStep,38
gene,Rank,drop,ExplosionNERStep,38
gene,Fur,drop,ExplosionNERStep,38
gene,Sharp,drop,ExplosionNERStep,38
gene,PLP,keep,ExplosionNERStep,38
gene,HAI,keep,ExplosionNERStep,38
gene,TSA,keep,ExplosionNERStep,38
gene,S6K,keep,ExplosionNERStep,38
gene,Huh7,keep,ExplosionNERStep,38
gene,MLH1,keep,ExplosionNERStep,38
gene,NOD,keep,ExplosionNERStep,38
gene,AFP,keep,ExplosionNERStep,38
gene,Int,keep,ExplosionNERStep,38
gene,IVD,keep,ExplosionNERStep,38
gene,PTX3,keep,ExplosionNERStep,38
gene,DAN,keep,ExplosionNERStep,38
gene,Id1,keep,ExplosionNERStep,38
gene,REM,keep,ExplosionNERStep,38
gene,ATG8,keep,ExplosionNERStep,38
gene,GRP,keep,ExplosionNERStep,37
gene,BiP,keep,ExplosionNERStep,37
gene,CBT,keep,ExplosionNERStep,37
gene,ICF,keep,ExplosionNERStep,37
gene,CPT I,keep,ExplosionNERStep,37
gene,Cas1,keep,ExplosionNERStep,37
gene,SAH,keep,ExplosionNERStep,37
gene,Erk,keep,ExplosionNERStep,37
gene,Era,keep,ExplosionNERStep,37
gene,RBP,keep,ExplosionNERStep,37
gene,PA28α,keep,ExplosionNERStep,37
gene,PrP,keep,ExplosionNERStep,37
gene,Pgp,keep,ExplosionNERStep,37
gene,Protein A,keep,ExplosionNERStep,37
gene,Paul,drop,ExplosionNERStep,36
gene,PSM,keep,ExplosionNERStep,36
gene,CSF-1,keep,ExplosionNERStep,36
gene,Dec,keep,ExplosionNERStep,36
gene,SAS,keep,ExplosionNERStep,36
gene,TCF,keep,ExplosionNERStep,36
gene,OGD,keep,ExplosionNERStep,36
gene,MIS,keep,ExplosionNERStep,36
gene,FMS,keep,ExplosionNERStep,36
gene,NOT,keep,ExplosionNERStep,36
gene,Epidermal Growth Factor,keep,ExplosionNERStep,36
gene,GAD,keep,ExplosionNERStep,36
gene,CD1,keep,ExplosionNERStep,36
gene,GLI,keep,ExplosionNERStep,36
gene,CD20,keep,ExplosionNERStep,36
gene,Mbp,keep,ExplosionNERStep,36
gene,Hsp27,keep,ExplosionNERStep,36
gene,DEK,keep,ExplosionNERStep,36
gene,Piwi,keep,ExplosionNERStep,36
gene,Tango,keep,ExplosionNERStep,35
gene,TIC,keep,ExplosionNERStep,35
gene,GPCR,keep,ExplosionNERStep,35
gene,ARF,keep,ExplosionNERStep,35
gene,Blot,keep,ExplosionNERStep,35
gene,ORF1,keep,ExplosionNERStep,35
gene,Nbs1,keep,ExplosionNERStep,35
gene,N-terminal fragment,keep,ExplosionNERStep,35
gene,Archipelago,keep,ExplosionNERStep,35
gene,Men,keep,ExplosionNERStep,35
gene,CaM,keep,ExplosionNERStep,35
gene,H2A,keep,ExplosionNERStep,35
gene,P14,keep,ExplosionNERStep,35
gene,Blast,drop,ExplosionNERStep,34
gene,MICE,drop,ExplosionNERStep,34
gene,PDF,keep,ExplosionNERStep,34
gene,PU.1,keep,ExplosionNERStep,34
gene,SAP,keep,ExplosionNERStep,34
gene,NG2,keep,ExplosionNERStep,34
gene,SAT,keep,ExplosionNERStep,34
gene,ROM,keep,ExplosionNERStep,34
gene,Mannose-Binding Lectin,keep,ExplosionNERStep,34
gene,RNA binding protein,keep,ExplosionNERStep,34
gene,IMP,keep,ExplosionNERStep,34
gene,Srf,keep,ExplosionNERStep,34
gene,GATA-1,keep,ExplosionNERStep,34
gene,LHRH,keep,ExplosionNERStep,34
